"Date","Country","Status","Color","Type","Value"
2022-07-03,"Nepal","Confirmed","#D6604D","New Cases per 10K",0.0134561639581824
2022-07-03,"Uruguay","Confirmed","#D6604D","Total Count",957629
2022-07-03,"Uruguay","Confirmed","#D6604D","Count per 10K",2780.57200929152
2022-07-03,"Uruguay","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"United Arab Emirates","Confirmed","#D6604D","Total Count",951196
2022-07-03,"United Arab Emirates","Confirmed","#D6604D","Count per 10K",1026.10140237325
2022-07-03,"United Arab Emirates","Confirmed","#D6604D","New Cases per 10K",1.9546925566343
2022-07-03,"Bolivia","Confirmed","#D6604D","Total Count",929544
2022-07-03,"Bolivia","Confirmed","#D6604D","Count per 10K",853.732549595885
2022-07-03,"Bolivia","Confirmed","#D6604D","New Cases per 10K",1.00477590007348
2022-07-03,"Mongolia","Confirmed","#D6604D","Total Count",928586
2022-07-03,"Mongolia","Confirmed","#D6604D","Count per 10K",3067.67756854972
2022-07-03,"Mongolia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Panama","Confirmed","#D6604D","Total Count",925254
2022-07-03,"Panama","Confirmed","#D6604D","Count per 10K",2293.63906792266
2022-07-03,"Panama","Confirmed","#D6604D","New Cases per 10K",5.61229548834903
2022-07-03,"Guatemala","Confirmed","#D6604D","Total Count",920294
2022-07-03,"Guatemala","Confirmed","#D6604D","Count per 10K",554.99577855506
2022-07-03,"Guatemala","Confirmed","#D6604D","New Cases per 10K",0.902786153660596
2022-07-03,"Ecuador","Confirmed","#D6604D","Total Count",909882
2022-07-03,"Ecuador","Confirmed","#D6604D","Count per 10K",555.314006713457
2022-07-03,"Ecuador","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Costa Rica","Confirmed","#D6604D","Total Count",904934
2022-07-03,"Costa Rica","Confirmed","#D6604D","Count per 10K",1863.15421041795
2022-07-03,"Costa Rica","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Latvia","Confirmed","#D6604D","Total Count",836259
2022-07-03,"Latvia","Confirmed","#D6604D","Count per 10K",4242.81582952816
2022-07-03,"Latvia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Saudi Arabia","Confirmed","#D6604D","Total Count",796771
2022-07-03,"Saudi Arabia","Confirmed","#D6604D","Count per 10K",246.861754864295
2022-07-03,"Saudi Arabia","Confirmed","#D6604D","New Cases per 10K",0.15584335109679
2022-07-03,"Azerbaijan","Confirmed","#D6604D","Total Count",793371
2022-07-03,"Azerbaijan","Confirmed","#D6604D","Count per 10K",815.805655526992
2022-07-03,"Azerbaijan","Confirmed","#D6604D","New Cases per 10K",0.0370179948586118
2022-07-03,"Sri Lanka","Confirmed","#D6604D","Total Count",664167
2022-07-03,"Sri Lanka","Confirmed","#D6604D","Count per 10K",319.341763631118
2022-07-03,"Sri Lanka","Confirmed","#D6604D","New Cases per 10K",0.00817386287142995
2022-07-03,"Paraguay","Confirmed","#D6604D","Total Count",660841
2022-07-03,"Paraguay","Confirmed","#D6604D","Count per 10K",982.663197026022
2022-07-03,"Paraguay","Confirmed","#D6604D","New Cases per 10K",7.89442379182156
2022-07-03,"West Bank and Gaza","Confirmed","#D6604D","Total Count",659853
